state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
KS,2020-11-17,"4,729",62.37,"7,582","1,114",14.69,645,81.44,792
LA,2020-11-17,"8,645",67.71,"12,768",818,6.53,"1,283",71.6,"1,792"
MD,2020-11-17,"7,915",81.48,"9,714","1,435",14.77,976,77.46,"1,260"
MI,2020-11-17,"17,166",79.25,"21,660","3,797",17.53,"2,238",83.35,"2,685"
AK,2020-11-17,885,62.54,"1,415",149,10.53,98,74.24,132
AR,2020-11-17,"5,448",65.23,"8,352",966,11.57,760,74.0,"1,027"
CO,2020-11-17,"6,857",68.04,"10,078","1,527",15.15,966,73.24,"1,319"
DE,2020-11-17,"1,824",72.61,"2,512",194,7.72,141,81.03,174
FL,2020-11-17,"40,222",78.36,"51,327","4,110",8.16,"4,997",79.22,"6,308"
HI,2020-11-17,"1,631",65.08,"2,506",84,3.35,146,67.91,215
IA,2020-11-17,"5,327",67.35,"7,910","1,521",19.49,567,81.47,696
IL,2020-11-17,"20,430",68.73,"29,726","6,062",20.39,"2,503",65.99,"3,793"
KY,2020-11-17,"8,584",72.41,"11,855","1,573",13.27,"1,193",77.97,"1,530"
MA,2020-11-17,"11,883",68.04,"17,465",881,5.04,"1,007",52.5,"1,918"
ME,2020-11-17,"1,950",69.32,"2,813",99,3.52,236,74.92,315
MN,2020-11-17,"7,850",74.63,"10,518","1,961",18.64,807,83.89,962
MO,2020-11-17,"11,361",65.42,"17,366","2,685",15.46,"1,570",78.89,"1,990"
MS,2020-11-17,"5,308",65.76,"8,072",885,10.96,674,78.83,855
MT,2020-11-17,"1,927",69.12,"2,788",483,17.32,159,71.62,222
ND,2020-11-17,"1,575",79.71,"1,976",470,23.79,124,88.57,140
NH,2020-11-17,"1,913",68.05,"2,811",113,4.02,171,60.64,282
NJ,2020-11-17,"14,466",74.62,"19,387","2,530",13.05,"1,486",65.99,"2,252"
NV,2020-11-17,"5,813",78.95,"7,363","1,223",16.98,663,76.12,871
NY,2020-11-17,"34,594",73.52,"47,057","3,159",6.71,"3,380",58.41,"5,787"
OK,2020-11-17,"7,004",68.36,"10,246","1,329",13.19,880,77.46,"1,136"
PA,2020-11-17,"24,069",76.07,"31,639","3,770",12.04,"3,098",81.08,"3,821"
SC,2020-11-17,"7,852",80.98,"9,696",778,8.02,973,77.47,"1,256"
TN,2020-11-17,"12,504",75.86,"16,484","2,113",13.21,"1,803",83.63,"2,156"
UT,2020-11-17,"3,012",57.65,"5,225",555,10.62,453,72.13,628
VA,2020-11-17,"11,706",68.52,"17,085","1,348",7.89,"1,356",67.0,"2,024"
NC,2020-11-17,"16,352",76.58,"21,354","1,977",9.35,"1,956",80.23,"2,438"
NE,2020-11-17,"3,239",69.36,"4,670","1,004",21.87,442,79.07,559
NM,2020-11-17,"2,749",74.36,"3,697",725,19.61,372,95.38,390
OH,2020-11-17,"20,410",69.87,"29,211","4,021",13.79,"2,946",76.01,"3,876"
OR,2020-11-17,"4,848",73.55,"6,591",493,7.48,515,66.37,776
RI,2020-11-17,"1,779",88.16,"2,018",308,15.26,126,81.82,154
SD,2020-11-17,"1,561",66.14,"2,360",572,24.24,167,82.27,203
TX,2020-11-17,"48,200",75.16,"64,173","8,498",13.26,"6,244",87.22,"7,159"
VT,2020-11-17,678,56.74,"1,195",21,1.76,54,51.92,104
WA,2020-11-17,"8,424",67.6,"12,492",758,6.07,932,71.47,"1,304"
WI,2020-11-17,"8,725",71.48,"12,206","2,486",20.8,"1,122",70.7,"1,587"
WV,2020-11-17,"3,883",75.59,"5,137",469,9.13,508,81.94,620
WY,2020-11-17,658,48.49,"1,357",207,15.38,57,47.9,119
CW,2020-11-18,"528,156",73.84,"715,410","85,662",12.03,"64,644",75.91,"85,159"
AL,2020-11-18,"10,907",77.16,"14,136","1,374",9.72,"1,313",87.42,"1,502"
AZ,2020-11-18,"10,288",75.63,"13,603","1,794",13.21,"1,264",63.68,"1,985"
CT,2020-11-18,"6,072",74.19,"8,184","1,003",12.26,582,55.17,"1,055"
DC,2020-11-18,"2,449",83.53,"2,932",225,7.67,289,86.53,334
GA,2020-11-18,"15,217",80.0,"19,022","2,089",10.98,"2,193",83.42,"2,629"
ID,2020-11-18,"1,970",60.24,"3,270",430,13.15,205,70.45,291
IN,2020-11-18,"11,326",68.87,"16,445","3,032",18.44,"1,704",78.71,"2,165"
KS,2020-11-18,"4,788",62.76,"7,629","1,132",14.84,660,82.81,797
LA,2020-11-18,"8,864",69.06,"12,836",851,6.75,"1,306",72.0,"1,814"
MD,2020-11-18,"8,110",83.63,"9,698","1,494",15.41,"1,021",79.46,"1,285"
MI,2020-11-18,"17,422",80.3,"21,697","3,848",17.74,"2,259",83.54,"2,704"
AK,2020-11-18,932,65.27,"1,428",142,9.94,103,77.44,133
AR,2020-11-18,"5,503",65.82,"8,361",903,10.8,767,75.94,"1,010"
CA,2020-11-18,"46,556",73.91,"63,066","5,313",8.42,"5,489",75.39,"7,281"
CO,2020-11-18,"6,936",68.51,"10,124","1,591",15.72,976,73.38,"1,330"
DE,2020-11-18,"1,864",73.94,"2,521",201,7.97,149,85.63,174
FL,2020-11-18,"40,861",79.16,"51,620","4,129",8.15,"5,022",79.88,"6,287"
HI,2020-11-18,"1,657",66.07,"2,508",88,3.51,136,62.67,217
IA,2020-11-18,"5,335",67.34,"7,923","1,530",19.57,554,80.06,692
IL,2020-11-18,"20,772",69.8,"29,760","6,114",20.54,"2,519",66.32,"3,798"
KY,2020-11-18,"8,522",71.92,"11,850","1,565",13.21,"1,179",77.01,"1,531"
MA,2020-11-18,"11,980",68.75,"17,426",916,5.26,"1,032",53.64,"1,924"
ME,2020-11-18,"1,994",70.94,"2,811",123,4.38,239,75.16,318
MN,2020-11-18,"8,120",76.34,"10,637","1,985",18.66,820,83.5,982
MO,2020-11-18,"11,555",66.16,"17,464","2,747",15.73,"1,560",77.77,"2,006"
MS,2020-11-18,"5,431",66.97,"8,110",891,10.99,683,80.64,847
MT,2020-11-18,"1,969",70.55,"2,791",482,17.27,173,76.55,226
ND,2020-11-18,"1,619",81.11,"1,996",474,23.75,137,95.8,143
NH,2020-11-18,"1,969",70.05,"2,811",125,4.45,173,61.35,282
NJ,2020-11-18,"14,780",76.36,"19,356","2,545",13.15,"1,512",66.64,"2,269"
NV,2020-11-18,"5,882",80.06,"7,347","1,282",17.87,737,83.28,885
NY,2020-11-18,"34,906",73.92,"47,224","3,250",6.88,"3,457",59.63,"5,797"
OK,2020-11-18,"7,139",70.15,"10,177","1,396",13.89,869,82.29,"1,056"
PA,2020-11-18,"24,796",77.02,"32,195","3,943",12.4,"3,205",82.73,"3,874"
SC,2020-11-18,"8,015",82.53,"9,712",781,8.04,993,78.87,"1,259"
TN,2020-11-18,"12,633",76.52,"16,510","2,130",13.29,"1,850",85.37,"2,167"
UT,2020-11-18,"3,139",60.08,"5,225",540,10.33,475,75.64,628
VA,2020-11-18,"11,913",69.54,"17,132","1,399",8.17,"1,385",68.23,"2,030"
NC,2020-11-18,"17,128",77.04,"22,233","2,156",9.79,"2,009",79.75,"2,519"
NE,2020-11-18,"3,227",69.65,"4,633","1,004",22.05,452,77.13,586
NM,2020-11-18,"2,865",76.87,"3,727",731,19.61,382,97.95,390
OH,2020-11-18,"20,791",71.32,"29,152","4,086",14.05,"3,001",77.19,"3,888"
OR,2020-11-18,"4,988",75.38,"6,617",511,7.72,527,67.05,786
RI,2020-11-18,"1,787",88.42,"2,021",315,15.59,138,93.24,148
SD,2020-11-18,"1,552",66.35,"2,339",547,23.39,169,84.92,199
TX,2020-11-18,"48,881",75.57,"64,718","8,503",13.16,"6,286",87.41,"7,191"
VT,2020-11-18,690,57.69,"1,196",20,1.67,55,52.88,104
WA,2020-11-18,"8,737",70.25,"12,467",808,6.48,970,74.22,"1,307"
WI,2020-11-18,"8,739",71.21,"12,273","2,446",20.35,"1,113",69.78,"1,595"
WV,2020-11-18,"3,881",75.51,"5,140",457,8.89,494,79.68,620
WY,2020-11-18,699,51.51,"1,357",221,16.42,58,48.74,119
CW,2020-11-19,"525,335",73.49,"715,041","86,412",12.14,"64,449",75.78,"85,051"
AZ,2020-11-19,"10,161",74.54,"13,632","1,809",13.29,"1,251",63.05,"1,984"
CT,2020-11-19,"6,005",73.23,"8,200","1,015",12.38,559,52.99,"1,055"
DC,2020-11-19,"2,438",82.98,"2,938",224,7.62,279,82.79,337
ID,2020-11-19,"1,933",62.03,"3,116",457,14.67,196,68.53,286
IN,2020-11-19,"11,371",69.13,"16,448","3,040",18.48,"1,679",78.2,"2,147"
LA,2020-11-19,"8,892",69.12,"12,864",881,6.97,"1,334",72.98,"1,828"
MD,2020-11-19,"7,976",82.87,"9,625","1,539",15.99,"1,016",80.89,"1,256"
AK,2020-11-19,911,63.66,"1,431",128,8.94,99,75.57,131
AL,2020-11-19,"11,018",77.84,"14,155","1,414",9.99,"1,283",85.48,"1,501"
AR,2020-11-19,"5,503",65.87,"8,354",941,11.26,787,78.08,"1,008"
CA,2020-11-19,"46,575",73.98,"63,034","5,483",8.7,"5,476",75.05,"7,296"
CO,2020-11-19,"6,965",69.34,"10,044","1,632",16.25,"1,009",75.02,"1,345"
DE,2020-11-19,"1,789",70.8,"2,527",221,8.75,148,85.06,174
FL,2020-11-19,"40,505",79.05,"51,242","4,095",8.14,"5,015",80.16,"6,256"
GA,2020-11-19,"15,059",79.67,"18,902","2,132",11.28,"2,199",83.87,"2,622"
HI,2020-11-19,"1,717",68.08,"2,522",80,3.17,142,64.55,220
IA,2020-11-19,"5,305",66.83,"7,938","1,447",18.47,532,76.88,692
IL,2020-11-19,"20,853",70.31,"29,659","6,167",20.79,"2,535",67.21,"3,772"
KS,2020-11-19,"4,781",62.87,"7,605","1,095",14.4,672,84.42,796
KY,2020-11-19,"8,596",72.54,"11,850","1,571",13.26,"1,183",77.27,"1,531"
MA,2020-11-19,"12,260",70.26,"17,449",904,5.18,"1,012",52.57,"1,925"
ME,2020-11-19,"2,006",71.34,"2,812",120,4.27,234,74.05,316
MI,2020-11-19,"17,158",79.21,"21,662","3,866",17.85,"2,246",83.68,"2,684"
MN,2020-11-19,"8,103",76.04,"10,656","1,987",18.65,799,80.95,987
MS,2020-11-19,"5,393",66.62,"8,095",920,11.37,702,82.39,852
MT,2020-11-19,"1,980",69.64,"2,843",465,16.36,176,76.19,231
ND,2020-11-19,"1,574",79.41,"1,982",485,24.47,137,93.2,147
NJ,2020-11-19,"14,729",75.82,"19,425","2,571",13.24,"1,459",65.02,"2,244"
NV,2020-11-19,"5,831",79.2,"7,362","1,269",17.65,744,83.5,891
NY,2020-11-19,"34,451",73.32,"46,988","3,314",7.05,"3,424",59.22,"5,782"
OK,2020-11-19,"7,001",69.07,"10,136","1,409",14.08,870,82.31,"1,057"
PA,2020-11-19,"24,553",76.3,"32,181","4,115",12.95,"3,201",82.8,"3,866"
SC,2020-11-19,"7,850",81.31,"9,654",777,8.05,988,78.29,"1,262"
TN,2020-11-19,"12,534",76.07,"16,477","2,151",13.45,"1,817",84.43,"2,152"
UT,2020-11-19,"3,170",60.67,"5,225",580,11.1,482,76.75,628
VA,2020-11-19,"11,838",69.27,"17,090","1,386",8.11,"1,392",68.64,"2,028"
MO,2020-11-19,"11,489",66.0,"17,407","2,763",15.87,"1,560",78.23,"1,994"
NC,2020-11-19,"16,289",76.09,"21,408","1,944",9.17,"1,926",79.69,"2,417"
NE,2020-11-19,"3,262",69.91,"4,666","1,012",22.06,448,76.71,584
NH,2020-11-19,"1,909",68.92,"2,770",126,4.55,176,62.41,282
NM,2020-11-19,"2,819",75.35,"3,741",742,19.83,386,98.22,393
OH,2020-11-19,"20,671",70.75,"29,218","4,225",14.49,"2,952",76.02,"3,883"
OR,2020-11-19,"5,015",64.19,"7,813",552,7.07,543,67.71,802
RI,2020-11-19,"1,781",87.91,"2,026",311,15.35,144,88.89,162
SD,2020-11-19,"1,580",67.12,"2,354",547,23.24,187,86.98,215
TX,2020-11-19,"49,203",75.82,"64,941","8,650",13.34,"6,394",87.47,"7,310"
VT,2020-11-19,662,55.35,"1,196",21,1.76,56,53.85,104
WA,2020-11-19,"8,707",69.31,"12,593",853,6.77,953,74.51,"1,279"
WI,2020-11-19,"8,655",70.47,"12,281","2,319",19.31,"1,110",69.55,"1,596"
WV,2020-11-19,"3,833",74.46,"5,148",447,8.68,484,77.81,622
WY,2020-11-19,676,49.85,"1,356",210,15.6,53,44.54,119
CW,2020-11-20,"520,454",73.53,"707,970","87,478",12.41,"64,259",76.08,"84,461"
AZ,2020-11-20,"10,300",74.98,"13,737","1,895",13.82,"1,306",66.03,"1,978"
CT,2020-11-20,"5,988",73.09,"8,193","1,021",12.46,578,54.79,"1,055"
DC,2020-11-20,"2,422",82.44,"2,938",216,7.35,277,81.95,338
ID,2020-11-20,"1,900",60.78,"3,126",418,13.39,197,68.64,287
IN,2020-11-20,"11,271",68.5,"16,453","3,135",19.05,"1,660",77.41,"2,145"
LA,2020-11-20,"8,767",69.03,"12,700",855,6.85,"1,290",72.35,"1,783"
MD,2020-11-20,"7,943",82.06,"9,679","1,512",15.62,"1,013",76.34,"1,327"
AK,2020-11-20,890,62.24,"1,430",125,8.74,86,67.72,127
AL,2020-11-20,"10,805",76.3,"14,161","1,400",9.88,"1,304",86.61,"1,505"
AR,2020-11-20,"5,425",72.4,"7,493",953,12.72,798,80.28,994
CA,2020-11-20,"46,255",73.72,"62,825","5,734",9.13,"5,485",74.91,"7,322"
CO,2020-11-20,"6,958",69.68,"9,985","1,690",16.93,"1,020",74.54,"1,369"
DE,2020-11-20,"1,802",71.11,"2,534",225,8.88,146,83.91,174
FL,2020-11-20,"40,044",78.52,"50,999","4,087",8.16,"5,008",80.45,"6,225"
GA,2020-11-20,"14,906",78.91,"18,890","2,128",11.26,"2,178",83.37,"2,613"
HI,2020-11-20,"1,727",68.18,"2,533",80,3.16,145,64.73,224
IA,2020-11-20,"5,276",66.52,"7,932","1,420",18.13,517,75.04,689
IL,2020-11-20,"20,768",70.81,"29,330","6,238",21.27,"2,544",69.67,"3,651"
KS,2020-11-20,"4,673",62.01,"7,536","1,171",15.54,644,81.62,789
KY,2020-11-20,"8,570",72.21,"11,867","1,546",13.02,"1,192",76.33,"1,561"
MA,2020-11-20,"11,918",68.22,"17,469",873,5.0,"1,018",52.83,"1,927"
ME,2020-11-20,"1,966",69.27,"2,838",125,4.4,239,73.09,327
MI,2020-11-20,"17,299",79.99,"21,626","3,955",18.29,"2,250",83.89,"2,682"
MN,2020-11-20,"7,908",76.17,"10,382","2,014",19.4,815,82.66,986
MS,2020-11-20,"5,254",65.36,"8,039",956,11.89,686,80.61,851
MT,2020-11-20,"1,924",67.2,"2,864",458,15.99,169,72.22,234
ND,2020-11-20,"1,592",79.56,"2,001",473,23.64,143,93.46,153
NJ,2020-11-20,"14,556",75.13,"19,375","2,644",13.65,"1,448",64.44,"2,247"
NV,2020-11-20,"5,640",76.72,"7,351","1,248",17.37,735,83.14,884
NY,2020-11-20,"34,114",73.17,"46,624","3,341",7.17,"3,413",59.85,"5,703"
OK,2020-11-20,"6,860",73.3,"9,359","1,480",16.03,893,87.63,"1,019"
PA,2020-11-20,"24,172",75.31,"32,096","4,285",13.52,"3,209",82.6,"3,885"
SC,2020-11-20,"7,646",79.08,"9,669",752,7.78,972,77.27,"1,258"
TN,2020-11-20,"12,329",74.89,"16,463","2,170",13.58,"1,833",84.86,"2,160"
UT,2020-11-20,"3,249",62.19,"5,224",589,11.27,498,79.09,629
VA,2020-11-20,"11,607",67.96,"17,079","1,374",8.04,"1,368",67.46,"2,028"
MO,2020-11-20,"11,464",78.83,"14,542","2,736",18.81,"1,560",86.98,"1,793"
NC,2020-11-20,"16,046",74.82,"21,445","1,919",9.04,"1,913",78.89,"2,425"
NE,2020-11-20,"3,299",70.65,"4,669","1,011",22.03,445,76.99,578
NH,2020-11-20,"1,937",69.93,"2,770",133,4.8,179,63.48,282
NM,2020-11-20,"2,622",69.75,"3,759",754,20.06,372,95.01,391
OH,2020-11-20,"20,331",69.91,"29,080","4,324",14.9,"2,927",75.17,"3,894"
OR,2020-11-20,"4,944",74.54,"6,633",525,7.91,552,68.79,802
RI,2020-11-20,"1,751",88.61,"1,976",314,15.89,147,90.74,162
SD,2020-11-20,"1,618",68.65,"2,357",559,23.72,183,84.72,216
TX,2020-11-20,"49,334",75.44,"65,445","8,753",13.4,"6,211",87.82,"7,073"
VT,2020-11-20,647,54.1,"1,196",25,2.09,55,52.88,104
WA,2020-11-20,"8,702",69.48,"12,554",862,6.86,968,75.65,"1,279"
WI,2020-11-20,"8,514",69.47,"12,255","2,287",19.08,"1,112",69.75,"1,594"
WV,2020-11-20,"3,840",74.81,"5,133",461,8.98,493,79.52,620
WY,2020-11-20,681,50.22,"1,356",231,17.16,67,56.3,119
CW,2020-11-21,"504,268",71.5,"705,452","87,773",12.5,"63,670",75.2,"84,673"
AZ,2020-11-21,"10,037",73.64,"13,630","1,945",14.29,"1,308",65.7,"1,990"
CT,2020-11-21,"5,878",71.8,"8,187","1,006",12.29,597,56.59,"1,055"
DC,2020-11-21,"2,345",80.31,"2,920",228,7.81,277,82.2,337
ID,2020-11-21,"1,821",58.31,"3,123",416,13.32,194,66.9,290
IN,2020-11-21,"10,898",66.39,"16,416","3,110",18.94,"1,634",76.32,"2,141"
LA,2020-11-21,"8,436",66.62,"12,662",874,7.03,"1,288",71.4,"1,804"
MD,2020-11-21,"7,730",81.57,"9,477","1,551",16.37,968,73.89,"1,310"
AK,2020-11-21,884,61.71,"1,432",136,9.49,87,66.41,131
AL,2020-11-21,"10,189",72.07,"14,137","1,451",10.26,"1,297",86.47,"1,500"
AR,2020-11-21,"5,126",69.1,"7,418",991,13.36,774,78.9,981
CA,2020-11-21,"45,184",72.69,"62,234","5,956",9.57,"5,446",74.58,"7,302"
CO,2020-11-21,"6,816",67.49,"10,099","1,637",16.21,"1,031",70.76,"1,457"
DE,2020-11-21,"1,782",70.35,"2,533",221,8.72,149,85.63,174
FL,2020-11-21,"38,709",75.72,"51,122","4,133",8.24,"4,907",78.29,"6,268"
GA,2020-11-21,"14,480",76.68,"18,884","2,141",11.34,"2,163",82.43,"2,624"
HI,2020-11-21,"1,742",69.02,"2,524",95,3.76,134,58.01,231
IA,2020-11-21,"5,029",62.91,"7,994","1,362",17.26,535,77.65,689
IL,2020-11-21,"20,078",68.67,"29,240","6,209",21.23,"2,478",68.05,"3,641"
KS,2020-11-21,"4,507",60.45,"7,456","1,176",15.78,633,80.69,784
KY,2020-11-21,"8,302",69.97,"11,866","1,550",13.07,"1,193",76.43,"1,561"
MA,2020-11-21,"11,604",66.45,"17,463",896,5.13,"1,003",52.21,"1,921"
ME,2020-11-21,"1,899",67.29,"2,822",127,4.5,228,73.55,310
MI,2020-11-21,"16,897",78.14,"21,623","3,955",18.29,"2,211",82.5,"2,680"
MN,2020-11-21,"7,688",74.21,"10,361","1,992",19.23,813,82.12,990
MS,2020-11-21,"5,003",62.81,"7,965",955,11.99,658,77.05,854
MT,2020-11-21,"1,870",65.61,"2,850",446,15.67,171,77.38,221
ND,2020-11-21,"1,534",77.33,"1,983",458,23.1,131,89.12,147
NJ,2020-11-21,"14,022",72.69,"19,289","2,684",13.91,"1,448",64.61,"2,241"
NV,2020-11-21,"5,747",77.84,"7,383","1,250",17.32,731,82.88,882
NY,2020-11-21,"33,017",70.76,"46,657","3,500",7.5,"3,395",59.25,"5,730"
OK,2020-11-21,"6,562",70.99,"9,243","1,474",16.18,874,85.22,"1,025"
PA,2020-11-21,"23,319",73.06,"31,916","4,343",13.78,"3,162",81.18,"3,895"
SC,2020-11-21,"7,330",75.78,"9,673",774,8.01,952,75.5,"1,261"
TN,2020-11-21,"11,891",72.48,"16,407","2,158",13.55,"1,817",83.54,"2,175"
UT,2020-11-21,"3,061",58.61,"5,223",568,10.87,480,75.95,632
VA,2020-11-21,"11,021",64.59,"17,063","1,388",8.13,"1,346",66.57,"2,022"
MO,2020-11-21,"11,018",76.23,"14,454","2,647",18.31,"1,568",86.77,"1,807"
NC,2020-11-21,"15,590",72.92,"21,381","1,881",8.89,"1,912",79.12,"2,416"
NE,2020-11-21,"3,330",70.08,"4,751",985,21.08,438,74.36,589
NH,2020-11-21,"1,851",66.82,"2,770",133,4.8,171,60.64,282
NM,2020-11-21,"2,551",68.48,"3,725",757,20.33,373,95.64,390
OH,2020-11-21,"19,962",68.66,"29,072","4,303",14.83,"2,940",75.06,"3,917"
OR,2020-11-21,"4,789",72.21,"6,632",539,8.13,539,66.87,806
RI,2020-11-21,"1,730",87.02,"1,988",314,15.79,145,91.19,159
SD,2020-11-21,"1,531",65.48,"2,338",545,23.31,173,84.39,205
TX,2020-11-21,"47,939",74.17,"64,683","8,684",13.45,"6,252",87.46,"7,148"
VT,2020-11-21,629,52.59,"1,196",21,1.76,57,54.81,104
WA,2020-11-21,"8,465",68.21,"12,441",894,7.19,936,74.46,"1,257"
WI,2020-11-21,"8,144",66.3,"12,284","2,188",18.21,"1,086",67.96,"1,598"
WV,2020-11-21,"3,639",71.28,"5,105",482,9.44,502,80.97,620
WY,2020-11-21,661,48.72,"1,356",242,17.97,68,56.86,119
CW,2020-11-22,"490,532",69.86,"702,286","89,689",12.83,"62,319",73.76,"84,490"
AZ,2020-11-22,"9,697",71.71,"13,521","2,040",15.11,"1,286",64.95,"1,980"
CT,2020-11-22,"5,849",71.5,"8,180","1,042",12.74,608,57.63,"1,055"
DC,2020-11-22,"2,297",79.76,"2,880",231,8.02,262,78.21,335
ID,2020-11-22,"1,737",56.07,"3,098",435,14.04,204,69.39,294
IN,2020-11-22,"10,732",65.35,"16,422","3,171",19.31,"1,622",75.39,"2,152"
LA,2020-11-22,"8,358",66.25,"12,617",891,7.19,"1,283",71.32,"1,799"
MD,2020-11-22,"7,581",80.32,"9,438","1,640",17.37,973,76.67,"1,269"
AK,2020-11-22,863,60.01,"1,438",142,9.87,83,60.58,137
AL,2020-11-22,"10,080",71.44,"14,108","1,468",10.41,"1,286",85.47,"1,504"
AR,2020-11-22,"4,885",65.92,"7,410",995,13.43,770,78.38,983
CA,2020-11-22,"43,592",70.71,"61,722","6,256",10.14,"5,318",73.26,"7,259"
CO,2020-11-22,"6,486",64.15,"10,111","1,619",16.01,"1,000",68.59,"1,458"
DE,2020-11-22,"1,729",68.94,"2,508",220,8.77,150,86.21,174
FL,2020-11-22,"37,745",73.88,"51,087","4,306",8.58,"4,798",76.55,"6,268"
GA,2020-11-22,"14,176",75.29,"18,829","2,180",11.58,"2,158",82.05,"2,630"
HI,2020-11-22,"1,681",66.92,"2,512",81,3.22,120,55.81,215
IA,2020-11-22,"4,875",61.09,"7,980","1,324",16.81,552,80.12,689
IL,2020-11-22,"19,667",67.22,"29,255","6,204",21.21,"2,437",66.98,"3,639"
KS,2020-11-22,"4,406",59.2,"7,443","1,200",16.12,597,76.64,779
KY,2020-11-22,"7,972",67.18,"11,867","1,596",13.45,"1,171",75.02,"1,561"
MA,2020-11-22,"11,238",64.33,"17,468",924,5.29,969,50.44,"1,921"
ME,2020-11-22,"1,827",64.35,"2,839",130,4.58,212,66.88,317
MI,2020-11-22,"16,250",75.47,"21,532","4,004",18.6,"2,123",79.96,"2,655"
MN,2020-11-22,"7,448",72.81,"10,230","2,007",19.62,775,78.05,993
MS,2020-11-22,"4,896",61.51,"7,960",966,12.14,643,75.91,847
MT,2020-11-22,"1,792",62.94,"2,847",449,15.77,153,66.23,231
ND,2020-11-22,"1,487",75.18,"1,978",471,23.81,130,89.66,145
NJ,2020-11-22,"13,828",71.97,"19,213","2,773",14.43,"1,449",64.69,"2,240"
NV,2020-11-22,"5,705",77.32,"7,378","1,284",17.8,721,80.83,892
NY,2020-11-22,"32,386",69.79,"46,408","3,547",7.64,"3,332",58.31,"5,714"
OK,2020-11-22,"6,410",69.85,"9,177","1,491",16.48,889,87.24,"1,019"
PA,2020-11-22,"22,698",71.25,"31,856","4,512",14.34,"3,087",79.62,"3,877"
SC,2020-11-22,"7,200",74.55,"9,658",814,8.43,921,73.39,"1,255"
TN,2020-11-22,"11,743",71.63,"16,393","2,240",14.08,"1,812",83.73,"2,164"
UT,2020-11-22,"2,818",53.94,"5,224",553,10.59,446,70.49,632
VA,2020-11-22,"10,586",62.05,"17,061","1,422",8.33,"1,343",66.35,"2,024"
MO,2020-11-22,"10,743",76.05,"14,126","2,636",18.66,"1,529",85.56,"1,787"
NC,2020-11-22,"15,158",71.21,"21,286","1,947",9.24,"1,792",76.39,"2,346"
NE,2020-11-22,"3,249",68.02,"4,777",997,21.22,442,74.66,592
NH,2020-11-22,"1,751",63.21,"2,770",138,5.0,163,57.6,283
NM,2020-11-22,"2,505",67.23,"3,726",757,20.31,373,94.67,394
OH,2020-11-22,"19,041",65.98,"28,858","4,514",15.68,"2,898",72.16,"4,016"
OR,2020-11-22,"4,643",70.56,"6,580",534,8.12,496,62.86,789
RI,2020-11-22,"1,659",83.32,"1,991",304,15.27,137,84.57,162
SD,2020-11-22,"1,448",61.8,"2,344",546,23.29,168,80.77,208
TX,2020-11-22,"46,762",73.13,"63,986","8,834",13.83,"6,106",86.0,"7,100"
VT,2020-11-22,632,52.89,"1,195",25,2.09,54,51.92,104
WA,2020-11-22,"8,067",65.57,"12,332",873,7.08,895,70.42,"1,271"
WI,2020-11-22,"7,928",64.54,"12,284","2,185",18.19,"1,057",66.27,"1,595"
WV,2020-11-22,"3,595",71.53,"5,026",530,10.56,465,75.24,618
WY,2020-11-22,631,46.53,"1,356",239,17.72,61,51.12,119
CW,2020-11-23,"496,440",70.54,"703,885","92,318",13.18,"62,459",73.97,"84,438"
AZ,2020-11-23,"9,697",71.86,"13,495","2,116",15.7,"1,242",62.51,"1,987"
CT,2020-11-23,"5,764",70.54,"8,171","1,099",13.45,598,56.68,"1,055"
DC,2020-11-23,"2,297",78.58,"2,923",229,7.83,255,77.51,329
ID,2020-11-23,"1,798",58.3,"3,084",446,14.46,213,72.2,295
IN,2020-11-23,"10,656",64.9,"16,420","3,243",19.75,"1,637",76.14,"2,150"
LA,2020-11-23,"8,424",66.41,"12,686",954,7.66,"1,277",71.02,"1,798"
MD,2020-11-23,"7,698",80.27,"9,590","1,684",17.56,985,76.0,"1,296"
AK,2020-11-23,850,59.11,"1,438",139,9.67,81,63.78,127
AL,2020-11-23,"10,236",72.55,"14,110","1,517",10.75,"1,308",86.85,"1,506"
AR,2020-11-23,"4,926",66.94,"7,358","1,001",13.6,770,77.86,989
CA,2020-11-23,"43,466",70.37,"61,848","6,602",10.67,"5,275",72.63,"7,263"
CO,2020-11-23,"6,480",64.23,"10,089","1,665",16.5,"1,006",68.25,"1,474"
DE,2020-11-23,"1,743",69.8,"2,497",248,9.93,150,86.21,174
FL,2020-11-23,"38,315",74.97,"51,109","4,464",8.9,"4,824",77.07,"6,259"
GA,2020-11-23,"14,348",76.34,"18,794","2,244",11.94,"2,162",82.0,"2,636"
HI,2020-11-23,"1,697",67.61,"2,510",73,2.91,135,60.27,224
IA,2020-11-23,"4,939",61.92,"7,977","1,342",17.04,539,78.34,688
IL,2020-11-23,"19,758",67.49,"29,274","6,262",21.39,"2,484",68.24,"3,640"
KS,2020-11-23,"4,420",59.18,"7,469","1,198",16.05,599,75.63,792
KY,2020-11-23,"8,151",68.68,"11,868","1,673",14.1,"1,173",75.14,"1,561"
MA,2020-11-23,"11,268",64.51,"17,468",923,5.28,973,50.6,"1,923"
